"name","prop100k"
"Christian",18.97
"Phelps",18.96
"Farrell",18.94
"Castaneda",18.94
"Nash",18.91
"Dickerson",18.91
"Bond",18.9
"Wyatt",18.86
"Foley",18.85
"Chase",18.82
"Gates",18.81
"Vincent",18.77
"Mathews",18.76
"Hodge",18.75
"Garrison",18.71
"Trevino",18.7
"Villarreal",18.66
"Heath",18.65
"Dalton",18.6
"Valencia",18.54
"Callahan",18.51
"Hensley",18.48
"Atkins",18.44
"Huffman",18.44
"Roy",18.43
"Boyer",18.39
"Shields",18.37
"Lin",18.3
"Hancock",18.29
"Grimes",18.25
"Glenn",18.25
"Cline",18.23
"Delacruz",18.22
"Camacho",18.16
"Dillon",18.1
"Parrish",18.1
"Oneill",18.04
"Melton",18.01
"Booth",18.01
"Kane",17.99
"Berg",17.97
"Harrell",17.97
"Pitts",17.96
"Savage",17.93
"Wiggins",17.93
"Brennan",17.9
"Salas",17.9
"Marks",17.9
"Russo",17.84
"Sawyer",17.79
"Baxter",17.74
"Golden",17.73
"Hutchinson",17.72
"Liu",17.67
"Walter",17.65
"Mcdowell",17.62
"Wiley",17.61
"Rich",17.6
"Humphrey",17.6
"Johns",17.53
"Koch",17.53
"Suarez",17.51
"Hobbs",17.5
"Beard",17.47
"Gilmore",17.44
"Ibarra",17.38
"Keith",17.33
"Macias",17.33
"Khan",17.32
"Andrade",17.31
"Ware",17.3
"Stephenson",17.3
"Henson",17.28
"Wilkerson",17.28
"Dyer",17.26
"Mcclure",17.24
"Blackwell",17.24
"Mercado",17.21
"Tanner",17.2
"Eaton",17.2
"Clay",17.15
"Barron",17.12
"Beasley",17.12
"Oneal",17.11
"Preston",17
"Small",17
"Wu",16.98
"Zamora",16.98
"Macdonald",16.97
"Vance",16.96
"Snow",16.94
"Mcclain",16.89
"Stafford",16.81
"Orozco",16.79
"Barry",16.7
"English",16.69
"Shannon",16.65
"Kline",16.64
"Jacobson",16.63
"Woodard",16.62
"Huang",16.58
"Kemp",16.57
"Mosley",16.57
"Prince",16.55
"Merritt",16.54
"Hurst",16.53
"Villanueva",16.52
"Roach",16.48
"Nolan",16.47
"Lam",16.45
"Yoder",16.4
"Mccullough",16.36
"Lester",16.28
"Santana",16.26
"Valenzuela",16.23
"Winters",16.22
"Barrera",16.21
"Leach",16.19
"Orr",16.19
"Berger",16.15
"Mckee",16.15
"Strong",16.1
"Conway",16.09
"Stein",16.06
"Whitehead",16.05
"Bullock",15.95
"Escobar",15.92
"Knox",15.92
"Meadows",15.9
"Solomon",15.88
"Velez",15.87
"Odonnell",15.87
"Kerr",15.85
"Stout",15.82
"Blankenship",15.82
"Browning",15.81
"Kent",15.79
"Lozano",15.78
"Bartlett",15.76
"Pruitt",15.74
"Buck",15.73
"Barr",15.73
"Gaines",15.71
"Durham",15.7
"Gentry",15.7
"Mcintyre",15.69
"Sloan",15.67
"Rocha",15.62
"Melendez",15.62
"Herman",15.6
"Sexton",15.6
"Moon",15.59
"Hendricks",15.52
"Rangel",15.52
"Stark",15.52
"Lowery",15.45
"Hardin",15.44
"Hull",15.44
"Sellers",15.41
"Ellison",15.37
"Calhoun",15.37
"Gillespie",15.34
"Mora",15.33
"Knapp",15.3
"Mccall",15.28
"Morse",15.24
"Dorsey",15.24
"Weeks",15.22
"Nielsen",15.2
"Livingston",15.19
"Leblanc",15.17
"Mclean",15.15
"Bradshaw",15.12
"Glass",15.1
"Middleton",15.09
"Buckley",15.09
"Schaefer",15.07
"Frost",15.04
"Howe",15.03
"House",15
"Mcintosh",15
"Ho",14.98
"Pennington",14.95
"Reilly",14.94
"Hebert",14.93
"Mcfarland",14.92
"Hickman",14.91
"Noble",14.91
"Spears",14.9
"Conrad",14.87
"Arias",14.86
"Galvan",14.84
"Velazquez",14.84
"Huynh",14.83
"Frederick",14.79
"Randolph",14.73
"Cantu",14.68
"Fitzpatrick",14.64
"Mahoney",14.62
"Peck",14.62
"Villa",14.61
"Michael",14.59
"Donovan",14.56
"Mcconnell",14.53
"Walls",14.52
"Boyle",14.51
"Mayer",14.5
"Zuniga",14.48
"Giles",14.46
"Pineda",14.46
"Pace",14.45
"Hurley",14.45
"Mays",14.43
"Mcmillan",14.42
"Crosby",14.4
"Ayers",14.4
"Case",14.37
"Bentley",14.35
"Shepard",14.35
"Everett",14.35
"Pugh",14.34
"David",14.33
"Mcmahon",14.29
"Dunlap",14.28
"Bender",14.26
"Hahn",14.22
"Harding",14.21
"Acevedo",14.17
"Raymond",14.15
"Blackburn",14.14
"Duffy",14.07
"Landry",14.07
"Dougherty",14.05
"Bautista",14.03
"Shah",14.02
"Potts",13.97
"Arroyo",13.97
"Valentine",13.96
"Meza",13.96
"Gould",13.96
"Vaughan",13.93
"Fry",13.92
"Rush",13.89
"Avery",13.88
"Herring",13.85
"Dodson",13.83
"Clements",13.8
"Sampson",13.8
"Tapia",13.79
"Bean",13.77
"Lynn",13.76
"Crane",13.76
"Farley",13.76
"Cisneros",13.73
"Benton",13.73
"Ashley",13.72
"Mckay",13.7
"Finley",13.67
"Best",13.66
"Blevins",13.66
"Friedman",13.65
"Moses",13.65
"Sosa",13.65
"Blanchard",13.63
"Huber",13.62
"Frye",13.61
"Krueger",13.6
"Bernard",13.55
"Rosario",13.54
"Rubio",13.54
"Mullen",13.51
"Benjamin",13.51
"Haley",13.51
"Chung",13.5
"Moyer",13.5
"Choi",13.49
"Horne",13.45
"Yu",13.45
"Woodward",13.43
"Ali",13.37
"Nixon",13.36
"Hayden",13.35
"Rivers",13.34
"Estes",13.29
"Mccarty",13.24
"Richmond",13.24
"Stuart",13.23
"Maynard",13.21
"Brandt",13.2
"Oconnell",13.2
"Hanna",13.2
"Sanford",13.18
"Sheppard",13.18
"Church",13.17
"Burch",13.17
"Levy",13.15
"Rasmussen",13.14
"Coffey",13.14
"Ponce",13.12
"Faulkner",13.12
"Donaldson",13.12
"Schmitt",13.1
"Novak",13.08
"Costa",13.06
"Montes",13.05
"Booker",13.01
"Cordova",13
"Waller",12.97
"Arellano",12.97
"Maddox",12.96
"Mata",12.93
"Bonilla",12.91
"Stanton",12.9
"Compton",12.9
"Kaufman",12.9
"Dudley",12.89
"Mcpherson",12.89
"Beltran",12.88
"Dickson",12.86
"Mccann",12.86
"Villegas",12.86
"Proctor",12.86
"Hester",12.85
"Cantrell",12.85
"Daugherty",12.84
"Cherry",12.83
"Bray",12.82
"Davila",12.8
"Rowland",12.79
"Levine",12.78
"Madden",12.78
"Spence",12.76
"Good",12.76
"Irwin",12.74
"Werner",12.73
"Krause",12.73
"Petty",12.71
"Whitney",12.7
"Baird",12.69
"Hooper",12.63
"Pollard",12.63
"Zavala",12.63
"Jarvis",12.62
"Holden",12.62
"Haas",12.62
"Hendrix",12.62
"Mcgrath",12.62
"Bird",12.59
"Lucero",12.57
"Terrell",12.57
"Riggs",12.55
"Joyce",12.55
"Mercer",12.53
"Rollins",12.53
"Galloway",12.52
"Duke",12.51
"Odom",12.5
"Andersen",12.42
"Downs",12.42
"Hatfield",12.41
"Benitez",12.4
"Archer",12.39
"Huerta",12.36
"Travis",12.36
"Mcneil",12.32
